season,episode,episode_title,companions,year_came_out,series_type,story_title,doctor_num,episode_mood,missing,vibe_tags,villains,setting,imdb_rating,plot_summary
1,5,The Dead Planet,"Susan, Ian, Barbara",1963,Classic,The Daleks,1,"Dark, Ominous, Suspenseful",0,"Alien, Deserted, Mysterious, Post-apocalyptic",Daleks,"Skaro, Future",7.6,"The TARDIS lands in a petrified forest on an alien planet. Determined to explore, the Doctor leads his companions into the metal city, where they discover the danger of what will become his deadliest enemies, the mutant Daleks. (O..."
1,6,The Survivors,"Susan, Ian, Barbara",1963,Classic,The Daleks,1,"Ominous, Dark, Suspenseful",0,"Alien, Deserted, Post-apocalyptic, Mysterious",Daleks,"Skaro, Future",7.7,"The Doctor, Susan and Ian search the city for Barbara and learn that the area is contaminated with radiation.Then they encounter the Daleks."
1,7,The Escape,"Susan, Ian, Barbara",1964,Classic,The Daleks,1,"Ominous, Dark, Suspenseful",0,"Alien, Deserted, Mysterious, Post-apocalyptic",Daleks,"Skaro, Future",7.7,Susan meets Alydon of the Thals and agrees to try and arrange a treaty between his people and the Daleks. But the Daleks only see it as an opportunity to wipe the Thals out.
1,8,The Ambush,"Susan, Ian, Barbara",1964,Classic,The Daleks,1,"Ominous, Dark, Suspenseful",0,"Alien, Deserted, Mysterious, Post-apocalyptic",Daleks,"Skaro, Future",7.6,"The Doctor and his friends attempt to escape from the Dalek City. However, knowing that the Thals are walking into a trap, Ian decides to go and warn them."
1,9,The Expedition,"Susan, Ian, Barbara",1964,Classic,The Daleks,1,"Ominous, Dark, Suspenseful",0,"Alien, Deserted, Post-apocalyptic, Mysterious",Daleks,"Skaro, Future",7.2,The Doctor and his friends realise that their only chance of recovering the fluid link is to persuade the Thals to fight back against the Daleks.
1,10,The Ordeal,"Susan, Ian, Barbara",1964,Classic,The Daleks,1,"Ominous, Dark, Suspenseful",0,"Alien, Deserted, Post-apocalyptic, Futuristic",Daleks,"Skaro, Future",7,"While Ian, Barbara and their Thal friends try to find a way into the Dalek City through the mountains, the Doctor, Susan and Alydon attempt to make their own way in."
1,11,The Rescue,"Susan, Ian, Barbara",1964,Classic,The Daleks,1,"Ominous, Dark, Fearful",0,"Alien, Deserted, Post-apocalyptic, Mysterious",Daleks,"Skaro, Future",7.5,"Ian, Barbara and the surviving members of their party try to find a way into the Dalek City whilst Alydon prepares the other Thals for an attack. But only the Doctor and Susan are aware of the full extent of the threat the Daleks ..."
1,12,The Edge of Destruction,"Susan, Ian, Barbara",1964,Classic,The Edge of Destruction,1,"Mysterious, Dark, Suspenseful",0,"Ominous, Isolated, Claustrophobic, Paranoid",,Tardis  ,6.8,"In this completely TARDIS-based story, the crew find themselves and their ship acting very strangely indeed. Blame runs high for the Ship's unusual behavior, until the Doctor realizes the TARDIS itself may be trying to warn them....."
1,13,The Brink of Destruction,"Susan, Ian, Barbara",1964,Classic,The Edge of Destruction,1,"Dark, Suspenseful, Mysterious",0,"Claustrophobic, Tense, Isolated, Sinister",,Tardis  ,6.9,The Doctor becomes increasingly suspicious of Ian and Barbara but when the occurrences aboard the TARDIS become even stranger he realises they are in even greater danger than they realised.
1,14,The Roof of the World,"Susan, Ian, Barbara",1964,Classic,Marco Polo,1,"Epic, Adventurous, Historical",1,"Exotic, Mysterious, Ancient, Cultural",Tegana,"Asia, Past, 1289",7.3,"The TARDIS arrives on Earth in the 13th century, where it is claimed by famed explorer Marco Polo as a gift for his employer, Kublai Khan. Polo hopes to finally buy his way out of the Khan's service - but if he succeeds, the Docto..."
1,15,The Singing Sands,"Susan, Ian, Barbara",1964,Classic,Marco Polo,1,"Historical, Adventurous, Suspenseful",1,"Epic, Historical, Mysterious, Exotic",Tegana,"Asia, Past, 1289",7,"Tegana sabotages the party's water bags, leaving them in dire need of fresh supplies."
1,16,Five Hundred Eyes,"Susan, Ian, Barbara",1964,Classic,Marco Polo,1,"Historical, Adventurous, Suspenseful",1,"Epic, Historical, Mysterious, Exotic",Tegana,"Asia, Past, 1289",6.9,"The Doctor and Susan are able to supply Marco with condensation that has formed inside the TARDIS, saving the group from dying of thirst.When the group are reunited with Tegana, the travelers begin to suspect he is up to something."
1,17,The Wall of Lies,"Susan, Ian, Barbara",1964,Classic,Marco Polo,1,"Exotic, Adventurous, Historical",1,"Epic, Mysterious, Historical, Cultural",Tegana,"Asia, Past, 1289",7,The Doctor's group manage to rescue Barbara from the Mongols but once more Marco remains unaware of Tegana's involvement.
1,18,Rider from Shang-Tu,"Susan, Ian, Barbara",1964,Classic,Marco Polo,1,"Historical, Adventurous, Exotic",1,"Epic, Mysterious, Ancient, Cultural",Tegana,"Asia, Past, 1289",6.9,The Doctor and his friends elect to warn Marco of Acomat's attack even though it means losing their chance to gain access to the TARDIS.
1,19,Mighty Kublai Khan,"Susan, Ian, Barbara",1964,Classic,Marco Polo,1,"Exhilarating, Suspenseful, Adventurous",1,"Historic, Mysterious, Epic, Cultural",Tegana,"China, Past, 1289",7,"The Doctor, Ian and Barbara are forced to surrender to Tegana and Marco, leaving both of them the opportunity to gain possession of the TARDIS."
1,20,Assassin at Peking,"Susan, Ian, Barbara",1964,Classic,Marco Polo,1,"Exotic, Adventurous, Historical",1,"Epic, Mysterious, Historical, Cultural",Tegana,"Asia, Past, 1289",7.1,"Tegana finally makes his move to assassinate the Khan, giving the Doctor and his friends an opportunity to thwart his plans and regain the TARDIS."
1,21,The Sea of Death,"Susan, Ian, Barbara",1964,Classic,The Keys of Marinus,1,"Dark, Mysterious, Suspenseful",0,"Alien, Futuristic, Desert, Jungle","Voord, Yartek","Planet Marinus, Future",7.1,"On the planet Marinus, the Doctor and his companions are enlisted by Arbitan to seek out the keys to an ancient and powerful machine. Their quest takes them across time and space; will they be able to return the keys before Marinu..."
1,22,The Velvet Web,"Susan, Ian, Barbara",1964,Classic,The Keys of Marinus,1,"Dark, Mysterious, Suspenseful",0,"Alien, Desert, Mysterious, Ancient","Voord, Yartek","Planet Marinus, Future",7.2,The Doctor and his friends arrive in the apparently idyllic city of Morphoton but Barbara soon begins to realise there is more to their hosts than meets the eye.
1,23,The Screaming Jungle,"Susan, Ian, Barbara",1964,Classic,The Keys of Marinus,1,"Dark, Mysterious, Suspenseful",0,"Adventure, Fantasy, Mystery, Thriller","Voord, Yartek","Planet Marinus, Future",6.9,The search for the second key takes the travellers to a jungle where Ian and Barbara come under threat from rapidly growing plants.
1,24,The Snows of Terror,"Susan, Ian, Barbara",1964,Classic,The Keys of Marinus,1,"Dark, Suspenseful, Mysterious",0,"Alien, Desert, Mysterious, Ancient","Voord, Yartek","Marinus, Future",6.7,"Searching for the third key, Ian and Barbara meet with the sinister trapper Vasor before following Susan and the others into a cave system guarded by the mysterious Ice Soldiers."
1,25,Sentence of Death,"Susan, Ian, Barbara",1964,Classic,The Keys of Marinus,1,"Dark, Mysterious, Suspenseful",0,"Adventure, Mystery, Exotic, Thrilling","Voord, Yartek","Planet Marinus, Future",7.1,The group are reunited with the Doctor in the city of Millennius where Ian faces trial for murder after the fourth key is stolen.
1,26,The Keys of Marinus,"Susan, Ian, Barbara",1964,Classic,The Keys of Marinus,1,"Dark, Suspenseful, Mysterious",0,"Alien, Desert, Mysterious, Ancient","Voord, Yartek","Planet Marinus, Future",7.1,The Doctor and his friends must locate the real murderers and the fourth key before heading off for a final confrontation with the Voord.
1,27,The Temple of Evil,"Susan, Ian, Barbara",1964,Classic,The Aztecs,1,"Bittersweet, Sad, Tragic",0,"Ancient, Mysterious, Exotic, Historical",,"Mexico, Past, 15th Century",7.3,The TARDIS arrives on Earth landing in 16th century Aztec society. Barbara goes off exploring - despite the Doctor's orders not to wander off - and is taken away by the high priest Autloc who believes she is the reincarnation of t...
1,28,The Warriors of Death,"Susan, Ian, Barbara",1964,Classic,The Aztecs,1,"Bittersweet, Sad, Tragic",0,"Ancient, Mysterious, Adventurous, Historical",,"Aztec Temple, Past, 15th Century",7.3,Barbara tries to change the course of history - and Ian fights for his life.
1,29,The Bride of Sacrifice,"Susan, Ian, Barbara",1964,Classic,The Aztecs,1,"Bittersweet, Sad, Tragic",0,"Ancient, Mysterious, Adventurous, Historical",,"Mexico, Past, 15th Century",7.5,"While the Doctor tries to find a way back to the TARDIS, Tlotoxl continues to plot Barbara's downfall and sees an opening when Susan questions Aztec custom."
1,30,The Day of Darkness,"Susan, Ian, Barbara",1964,Classic,The Aztecs,1,"Bittersweet, Tragic, Sad",0,"Ancient, Mysterious, Adventurous, Historical",,"Mexico, Past, 15th Century",7.5,"Tlotoxl's machinations result in both Susan and Ian being arrested.With the TARDIS once again trapped inside the tomb, the travelers' only hope for escape lies with Autloc and Cameca."
1,31,Strangers in Space,"Susan, Ian, Barbara",1964,Classic,The Sensorities,1,"Ominous, Dark, Mysterious",0,"Alien, Mysterious, Ancient, Deserted",The Sensorites,"The Sensorites' planet, Future",6.9,"The TARDIS arrives aboard a spaceship that has been captured by the Sensorites, a hearing-sensitive alien race. The Sensorites are dying, and the Doctor finds himself forced to investigate the origin of the mysterious illness. (Or..."
1,32,The Unwilling Warriors,"Susan, Ian, Barbara",1964,Classic,The Sensorities,1,"Ominous, Dark, Mysterious",0,"Alien, Mysterious, Ancient, Deserted",The Sensorites,"The Sensorites' planet, Future",6.7,The ship has been boarded by the Sensorites and the race is on to retrieve Susan and Barbara before they can find them.
1,33,Hidden Danger,"Susan, Ian, Barbara",1964,Classic,The Sensorities,1,"Ominous, Dark, Mysterious",0,"Alien, Mysterious, Ancient, Deserted",The Sensorites,"The Sense-Sphere, Future",6.6,"The Doctor, Susan and Ian agree to accompany the Sensorites to their home planet in the hope of finding a cure for John. But not everyone is willing to welcome them there."
1,34,A Race Against Death,"Susan, Ian, Barbara",1964,Classic,The Sensorities,1,"Mysterious, Ominous, Dark",0,"Alien, Mysterious, Atmospheric, Suspenseful",The Sensorites,"The Sense-Sphere, Future",6.6,"With Ian having fallen victim to the Sensorites' plague, the Doctor is desperate to find a cure. But the City Administrator is still determined to rid his world of aliens."
1,35,Kidnap,"Susan, Ian, Barbara",1964,Classic,The Sensorities,1,"Ominous, Dark, Suspenseful",0,"Mysterious, Alien, Deserted, Ancient",The Sensorites,"The Sense-Sphere, Future",6.5,The City Administrator is determined to destroy the Doctor and his friends and his paranoia prevents the Doctor's cure from being distributed.
1,36,A Desperate Venture,"Susan, Ian, Barbara",1964,Classic,The Sensorities,1,"Ominous, Dark, Mysterious",0,"Alien, Deserted, Mysterious, Ancient",The Sensorites,"The Sense-Sphere, Future",6.5,"While the City Administrator's schemes reach their climax, the Doctor and Ian venture into the tunnels under the city to discover the real cause of the Sensorite plague."
1,37,A Land of Fear,"Susan, Ian, Barbara",1964,Classic,The Reign of Terror,1,"Dark, Suspenseful, Ominous",0,"Historical, Mysterious, Adventurous, Intense","Robespierre, Napoleon's Men","Paris, Past, 1794",6.9,"The TARDIS lands during the French Revolution, where Ian, Barbara, and Susan become caught up in the politics of the day. When they are arrested and set to be executed, the Doctor must take on the disguise of a public official to ..."
1,38,Guests of Madame Guillotine,"Susan, Ian, Barbara",1964,Classic,The Reign of Terror,1,"Dark, Suspenseful,",0,"Historic, Mysterious, Adventurous,","Robespierre,","Paris, Past, 1794",6.7,"Susan, Ian and Barbara are sentenced to be guillotined but an encounter with a dying English prisoner may offer Ian a chance of survival."
1,39,A Change of Identity,"Susan, Ian, Barbara",1964,Classic,The Reign of Terror,1,"Dark, Suspenseful, Gritty",0,"Historical, Mysterious, Adventurous, Intense","Robespierre, Napoleon's Men","Paris, Past, 1794",6.6,"Susan and Barbara are rescued by Jules and Jean, two members of the escape chain, while the Doctor gains access to the prison by posing as a revolution official."
1,40,The Tyrant of France,"Susan, Ian, Barbara",1964,Classic,The Reign of Terror,1,"Dark, Suspenseful, Sad",1,"Historical, Mysterious, Adventurous, Intense","Robespierre, Napoleon's Men","Paris, Past, 1794",6.4,The Doctor is forced into a meeting with Robespierre while Barbara's attempts to find a physician for Susan result in them being betrayed.
1,41,A Bargain of Necessity,"Susan, Ian, Barbara",1964,Classic,The Reign of Terror,1,"Dark, Suspenseful, Ominous",1,"Historical, Mysterious, Adventurous, Intense","Robespierre, Napoleon's Men","Paris, Past, 1794",6.5,Ian finds himself held prisoner by the treacherous Leon while the Doctor attempts to engineer Susan and Barbara's escape.
1,42,Prisoners of Conciergerie,"Susan, Ian, Barbara",1964,Classic,The Reign of Terror,1,"Dark, Suspenseful, Ominous",0,"Historical, Mysterious, Adventurous, Intense","Robespierre, Napoleon's Men","Paris, Past, 1794",6.7,Ian finally delivers his message to James Stirling but in order to secure Susan's release he and Barbara are forced into a dangerous spying mission.
2,1,Planet of Giants,"Susan, Ian, Barbara",1964,Classic,Planet of Giants,1,"Dark, Suspenseful, Thrilling",0,"Mysterious, Adventurous, Deadly, Exotic",,"England, Past, 1964",7,"When the TARDIS malfunctions and the doors open in the time vortex, the travelers and their Ship shrink to the size of insects. When they arrive on Earth, they uncover a murderous plot involving a new insecticide - but how can the..."
2,2,Dangerous Jorney,"Susan, Ian, Barbara",1964,Classic,Planet of Giants,1,"Suspenseful, Intense",0,"Mysterious, Adventurous, Dark",,"England, Past, 1964",6.9,"Ian and Barbara are accidentally taken into Smithers' laboratory and, while the Doctor and Susan face a hazardous journey to reach them, they witness the deadly effects of DN6 first hand."
2,3,Crisis,"Susan, Ian, Barbara",1964,Classic,Planet of Giants,1,"Suspenseful, Dark",0,"Mysterious, Adventure, Thrilling","Forester, Smithers","England, Past, 1964",6.7,The Doctor and his friends face a race against time to expose Forrester's plans and return to normal size before Barbara succumbs to the effects of DN6.
2,4,World's End,"Susan, Ian, Barbara",1964,Classic,Dalek Invasion of Earth,1,"Ominous, Dark, Gritty",0,"Post-apocalyptic, Gritty, Deserted, Ruined",Daleks,"London, Future, 2164",8,"Ian and Barbara believe the TARDIS has finally returned to their contemporary London, but soon discover signs of plague and warfare. Their old enemies, the Daleks, have invaded the Earth of the 22nd century. Separated and fighting..."
2,5,The Daleks,"Susan, Ian, Barbara",1964,Classic,Dalek Invasion of Earth,1,"Ominous, Dark, Gritty",0,"Post-apocalyptic, Gritty, Intense, Desperate",Daleks,"London, Future, 2164",7.9,The Doctor and Ian are taken to the Dalek saucer while Susan and Barbara join the rebels in planning an attack.
2,6,Day of Reckoning,"Susan, Ian, Barbara",1964,Classic,Dalek Invasion of Earth,1,"Ominous, Dark, Gritty",0,"Post-apocalyptic, Grim, Desolate, Futuristic",Daleks,"London, Future, 2164",7.9,"The Doctor manages to escape from the Dalek saucer and meet up with Susan and David but Ian is left trapped onboard. Meanwhile, Barbara and her new friends face a dangerous journey across London."
2,7,The End of Tomorrow,"Susan, Ian, Barbara",1964,Classic,Dalek Invasion of Earth,1,"Ominous, Dark, Gritty",0,"Post-apocalyptic, Gritty, Intense, Desolate",Daleks,"London, Future, 2164",7.7,"While Susan and David try to find a way out of London, Ian and Larry infiltrate the Dalek mine workings."
2,8,The Walking Ally,"Susan, Ian, Barbara",1964,Classic,Dalek Invasion of Earth,1,"Ominous, Dark, Gritty",0,"Post-apocalyptic, Gritty, Action, Suspense",Daleks,"London, Future, 2164",7.7,The Doctor's party investigate the Daleks' central control in Bedfordshire while Barbara and Jenny's attempt to reach it are derailed when they are betrayed.
2,9,Flashpoint,"Susan, Ian, Barbara",1964,Classic,Dalek Invasion of Earth,1,"Ominous, Dark, Gritty",0,"Post-apocalyptic, Gritty, Dark, Desolate",Daleks,"London, Future, 2164",8.3,The Daleks' plan to transform Earth into a giant spaceship and wipe out its inhabitants is nearing completion and the Doctor and his friends face a race against time to prevent them from destroying the planet's core.
2,10,The Powerful Enemy,"Ian, Barbara, Vicky",1964,Classic,The Rescue,1,"Mysterious, Suspenseful",0,"Alien, Deserted, Mysterious, Dark",Koquillion,"Dido, Future, 2493",7.1,"On the planet Dido, the monstrous Koquillion terrorizes Bennett and Vicki, the only survivors of a crashed spaceship. When the TARDIS lands, the Doctor, Ian, and Barbara team up with Vicki to discover what Koquillion is hiding. (O..."
2,11,Desperate Measures,"Ian, Barbara, Vicky",1965,Classic,The Rescue,1,"Dark, Suspenseful, Mysterious",0,"Alien, Deserted, Mysterious, Vintage",Koquillion,"Dido, Future, 2493",7.3,"The Doctor and Ian reach the crashed spaceship and meet up with Barbara and Vicki, where the Doctor uncovers the truth about Koquillion."
2,12,The Slave Traders,"Ian, Barbara, Vicky",1965,Classic,The Romans,1,"Humorous, Satirical, Dark",0,"Historical, Adventure, Comedy, Epic",,"Ancient Rome, Past, 64 AD",7.3,"The travelers decide to take a holiday near ancient Rome, but after a month the Doctor gets restless. He and Vicki determine to visit Rome, and while they are gone Ian and Barbara are abducted by slave traders. All roads lead to R..."
2,13,All Roads Lead to Rome,"Ian, Barbara, Vicky",1965,Classic,The Romans,1,"Humorous, Adventurous",0,"Historic, Mysterious, Epic, Comedy",,"Ancient Rome, Past, 64 AD",7.3,"While the Doctor and Vicki meet with Nero, Barbara is taken to Rome to be sold while Ian is forced to work as a galley slave."
2,14,Conspiracy,"Ian, Barbara, Vicky",1965,Classic,The Romans,1,"Humorous, Satirical, Dark",0,"Historical, Adventure, Comedy, Epic",,"Ancient Rome, Past, 64 AD",7.4,Ian and Delos are forced to fight each other for their freedom while the Doctor has to perform for Nero's court.
2,15,Inferno,"Ian, Barbara, Vicky",1965,Classic,The Romans,1,"Humorous, Satirical, Dark",0,"Historic, Comedic, Adventure, Epic",,"Rome, Past, 64 AD",7.5,Ian and Delos manage to escape from Sevcheria and Tavius agrees to help Barbara rejoin them.The Doctor's attempts to avoid being thrown to the lions inadvertently result in Nero deciding to burn down Rome.
2,16,The Web Planet,"Ian, Barbara, Vicky",1965,Classic,The Web Planet,1,"Ominous, Dark, Menacing",0,"Alien, Mysterious, Atmospheric, Deserted",Zarbi,"Vortis, Future",6.4,"The TARDIS is drawn by a mysterious force and lands on the alien planet Vortis. There the Doctor, Ian, Barbara and Vicki find themselves caught up in a war between an evil force known as ""The Animus"", its ant-like Zarbi allies, an..."
2,17,The Zarbi,"Ian, Barbara, Vicky",1965,Classic,The Web Planet,1,"Dark, Ominous, Mysterious",0,"Alien, Deserted, Menacing, Atmospheric",Zarbi,"Vortis, Future",5.9,"The Doctor, Ian and Vicki are captured by the Zarbi while Barbara meets up with the butterfly-like Menoptera who are trying to reclaim the planet."
2,18,Escape to Danger,"Ian, Barbara, Vicky",1965,Classic,The Web Planet,1,"Ominous, Dark, Mysterious",0,"Alien, Desert, Mysterious, Ancient","Zarbi, Menoptra","Vortis, Future",5.7,The Doctor is forced to co-operate with the Animus but Ian uses the opportunity to make an escape attempt.
2,19,Crater of Needles,"Ian, Barbara, Vicky",1965,Classic,The Web Planet,1,"Ominous, Dark, Mysterious",0,"Alien, Desert, Mysterious, Ancient","Zarbi, Menoptra","Planet Vortis, Future",5.6,Ian and Vrestin are captured by the subterranean Optera while Barbara and her Menoptera allies attempt to escape from the slave camp.
2,20,Invasion,"Ian, Barbara, Vicky",1965,Classic,The Web Planet,1,"Ominous, Dark, Menacing",0,"Alien, Mysterious, Atmospheric, Deserted",Zarbi,"Vortis, Future",5.7,Barbara and the surviving Menoptera take refuge in the Temple of Light while the Doctor and Vicki attempt to escape by taking control of a Zarbi.
2,21,The Centre,"Ian, Barbara, Vicky",1965,Classic,The Web Planet,1,"Ominous, Dark, Mysterious",0,"Alien, Desert, Mysterious, Ancient","Zarbi, Menoptra","Vortis, Future",5.6,The Doctor and Vicki are taken before the Animus but the isoptope is left behind in the laboratory.The only hope of victory lies with Barbara and her Menoptera allies.
2,22,The Lion,"Ian, Barbara, Vicky",1965,Classic,The Crusade,1,"Epic, Adventurous,",0,"Historical, Medieval, Action,",,"Jerusalem, Past, 1190",7,"The TARDIS lands in the Holy Land during the Third Crusade and the crew help save Richard the Lionheart from an ambush, but Barbara is captured and brought before Saladin."
2,23,The Knight of Jaffa,"Ian, Barbara, Vicky",1965,Classic,The Crusade,1,"Epic, Adventurous, Sad",1,"Historical, Medieval, Action, Drama",,"Holy Land, Past, 1190",6.7,"While the Doctor, Ian, and Vicki are drawn into the intrigues of King Richard's court, Barbara has to cope with an impatient Saladin and the vengeful El Akir."
2,24,The Weheel of Fortune,"Ian, Barbara, Vicky",1965,Classic,The Crusade,1,"Epic, Adventurous, Dark",0,"Historical, Medieval, Action, Suspense",,"Jerusalem, Past, 12th Century",7,Barbara allies herself with a man whose were murdered by El Akir as the Doctor and Vicki are caught up in Richard's plan to offer his sister's hand in marriage to Saladin's brother.
2,25,The Warlords,"Ian, Barbara, Vicky",1965,Classic,The Crusade,1,"Dark, Intense, Sad",1,"Historical, Medieval, Action, Adventure",,"Holy Land, Past, 12th Century",6.8,Ian sets out with a reluctant accomplice to rescue Barbara from El Akir's palace as the Doctor and Vicki try to evade the suspicions of the Earl of Leicester.
2,26,The Space Museum,"Ian, Barbara, Vicky",1965,Classic,The Space Museum,1,"Ominous, Dark, Foreboding",0,"Mysterious, Ancient, Deserted, Futuristic",Moroks,"Space Museum, Future",7.8,The TARDIS arrives on a planet that has been turned into a space museum but the Doctor and his friends are puzzled when they find themselves out of phase with their surroundings.
2,27,The Dimensions of Time,"Ian, Barbara, Vicky",1965,Classic,The Space Museum,1,"Ominous, Dark, Foreboding",0,"Mysterious, Historic, Alien, Deserted",Moroks,"Space Museum, Future",7,"Now back on their proper time track, the Doctor and his friends must work to avoid the future they saw for themselves."
2,28,The Search,"Ian, Barbara, Vicky",1965,Classic,The Space Museum,1,"Ominous, Suspenseful, Dark",0,"Mysterious, Historic, Alien, Futuristic",Moroks,"Space Museum, Future",6.7,"With the Doctor missing, Ian, Barbara and Vicki find themselves in danger from the Moroks while the Xerons also try to make contact with them."
2,29,The Final Phase,"Ian, Barbara, Vicky",1965,Classic,The Space Museum,1,"Ominous, Dark, Foreboding",0,"Mysterious, Alien, Deserted, Historical",Moroks,"Space Museum, Future",6.7,"While Ian tries to force Lobos to release the Doctor from the museum, Vicki joins the Xerons in trying to gain the weapons needed to start a revolution against the occupiers."
2,30,The Executioners,"Ian, Barbara, Vicky",1965,Classic,The Chase,1,"Exciting, Suspenseful, Thrilling",0,"Adventure, Mysterious, Dark, Fast",Daleks,"Space, Future, 1996, 2200, Mary Celeste, Earth",7.2,"The Doctor has obtained a Time and Space Visualizer, which has a TV screen that can show scenes in the past to order. Lincoln, Shakespeare and the Beatles are selected. They land on a barren planet with two suns, and become separa..."
2,31,The Death of Time,"Ian, Barbara, Vicky",1965,Classic,The Chase,1,"Exciting, Thrilling, Suspenseful",0,"Adventure, Mysterious, Historic, Action",Daleks,"Space, Future, 1996",6.9,"While Ian and Vicki are threatened by a Mire Beast, the Doctor and Barbara meet up with the Aridians...who are then ordered to hand them over to the Daleks."
2,32,Flight Through Eternity,"Ian, Barbara, Vicky",1965,Classic,The Chase,1,"Exciting, Thrilling, Suspenseful",0,"Adventure, Mysterious, Action, Historic",Daleks,"Space, Future, 1990s, 2254, Space Station, various planets",7.1,The TARDIS crew's attempts to escape from the Daleks take them to the top of the Empire State Building and a 19th century sailing ship.
2,33,Jorney Into Terror,"Ian, Barbara, Vicky",1965,Classic,The Chase,1,"Exciting, Thrilling, Dark",0,"Adventure, Mysterious, Suspenseful, Historical",Daleks,"Multiple planets, Spaceship, Past, Future",6.8,The TARDIS lands in a haunted house where the Doctor and his friends are confronted by Dracula and Frankenstein's Monster...and then the Daleks appear.
2,34,The Death of Doctor Who,"Ian, Barbara, Vicky",1965,Classic,The Chase,1,"Thrilling, Suspenseful, Dark",0,"Adventure, Mysterious, Historic, Action",Daleks,"Space, Future, 1990s, Various planets",7.1,"With Vicki trapped on board the Dalek time machine, the Doctor, Ian and Barbara decide to make their stand on the planet Mechanus."
2,35,The Planet of Decision,"Ian, Barbara, Vicky",1965,Classic,The Chase,1,"Exciting, Thrilling, Suspenseful",0,"Adventure, Mysterious, Action, Historical",Daleks,"Space, Future, 1990s, Various planets",7.7,The Doctor and his friends are taken into the Mechanoid City but their troubles are far from over...especially when the Daleks launch an attack.
2,36,The Watcher,"Vicki, Steven",1965,Classic,The Time Meddler,1,"Suspenseful, Mysterious, Dark",0,"Medieval, Mysterious, Historic, Adventure",The Meddling Monk,"Northumbria, England, Past, 1066",7.7,"The Doctor, Vicki, and Steven Taylor, go to 1066 England, but something doesn't seem right including modern inventions like a Gramaphone and electricity. Could there be another time traveller?"
2,37,The Meddling Monk,"Vicki, Steven",1965,Classic,The Time Meddler,1,"Suspenseful, Mysterious,",0,"Historic, Mysterious, Adventure,",The Meddling Monk,"Northumbria, Past, 1066",7.4,The Doctor is being held prisoner by the Monk and Steven and Vicki's search for him brings them to the Saxon village.But a greater danger threatens when a Viking raiding party arrives.
2,38,A Bbattl of Wits,"Vicki, Steven",1965,Classic,The Time Meddler,1,"Suspenseful, Mysterious",0,"Medieval, Mysterious, Adventure, Historic",The Meddling Monk,"Northumbria, England, Past, 1066",7.7,The Doctor manages to escape from his cell and get the upper hand on the Monk but his plans are derailed when Sven and Ulf arrive at the monastery.
2,39,Checkmate,"Vicki, Steven",1965,Classic,The Time Meddler,1,"Suspenseful, Mysterious, Dark",0,"Historic, Mysterious, Adventure, Medieval",The Meddling Monk,"Northumbria, England, Past, 1066",8.1,The Doctor finally discovers what the Monk is up to and must move fast to prevent his opponent from altering the course of history.
3,1,Four Hundred Dawns,"Vicki, Steven",1965,Classic,Galaxy 4,1,"Suspenseful, Dark",1,"Alien, Deserted, Mysterious, Ancient","Drahvins, Rills","Planet, Future",6.4,"After an encounter with a hostile robot called a Chumblie, the Doctor and his companions are rescued by a group of female Drahvins."
3,2,Trap of Steel,"Vicki, Steven",1965,Classic,Galaxy 4,1,"Ominous, Dark, Suspenseful",1,"Alien, Desert, Mysterious, Ancient","Rills, Drahvins","Planet, Future",6.3,"With the knowledge that the planet will be destroyed in two days, the Drahvins instruct the Doctor to help them steal the Rills' ship."
3,3,Air Lock,"Vicki, Steven",1965,Classic,Galaxy 4,1,"Suspenseful, Dark",0,"Alien, Mysterious, Deserted","Rills, Drahvins","Planet, Future",6.6,The Doctor and Vicki encounter the Rills and learn the situation is more complex than they thought while Steven finds the Drahvins' hospitality ever more perilous.
3,4,The Exploding Planet,"Vicki, Steven",1965,Classic,Galaxy 4,1,"Suspenseful, Dark",1,"Alien, Deserted, Mysterious, Vintage","Rills, Drahvins","Planet, Future",6.4,The Doctor and Vicki enlist the aid of the Chumblies to rescue Steven from the Drahvins and then find a way off the planet before its destruction.
3,5,Mission to the Unknown,,1965,Classic,Mission to the Unknown,1,"Dark, Ominous, Foreboding",1,"Alien, Desert, Mysterious, Deadly",Daleks,"Planet Kembel, Future",7,"Whilst The Doctor, Steven and Vicki are traveling to their next destination, on the planet Kembel, Marc Cory, a Space Security Service agent discovers The Daleks are attending a secret meeting with their allies. Where Cory discove..."
3,6,Temple of Secrets,,1965,Classic,The Myth Makers,1,"Humorous, Satirical, Adventurous",1,"Historical, Mythical, Action, Comedy",,"Ancient Troy, Past, 1200 BC",6.9,"The TARDIS lands in the middle of the Trojan War, where the Doctor is mistaken for the god Zeus."
3,7,"Small Prophet, Quick Return",,1965,Classic,The Myth Makers,1,"Humorous, Satirical, Lighthearted",1,"Historical, Mythical, Adventure, Comedy",,"Ancient Troy, Past, 1200 BC",6.9,"While Odysseus forces the Doctor to find a way to win the war, Steven decides to get himself taken prisoner in order to enter Troy and find Vicki and the TARDIS."
3,8,Death of a Spy,,1965,Classic,The Myth Makers,1,"Adventurous, Humorous, Sad",1,"Historic, Epic, Dramatic, Mythic",,"Ancient Troy, Past, 1200 BC",7,"With Steven and Vicki being held prisoner by the Trojans, the Doctor's only hope of seeing them again is to suggest the idea of the Trojan Horse."
